as_of_month,cut,alert_rate,precision,recall,alerts
2024-06-30,0.049999999999999996,0.0388,0.15206185567010308,0.4609375,388
2024-06-30,0.055,0.0371,0.15633423180592992,0.453125,371
2024-06-30,0.06,0.0366,0.15846994535519127,0.453125,366
2024-06-30,0.065,0.036,0.15833333333333333,0.4453125,360
2024-06-30,0.07,0.0355,0.15774647887323945,0.4375,355
2024-06-30,0.07500000000000001,0.0348,0.16091954022988506,0.4375,348
2024-06-30,0.08,0.033,0.16363636363636364,0.421875,330
2024-06-30,0.085,0.0307,0.17263843648208468,0.4140625,307
2024-06-30,0.09000000000000001,0.0298,0.17785234899328858,0.4140625,298
2024-06-30,0.095,0.0288,0.17708333333333334,0.3984375,288
2024-06-30,0.1,0.0278,0.17625899280575538,0.3828125,278
2024-07-31,0.005,0.6021,0.01943198804185351,0.8540145985401459,6021
2024-07-31,0.01,0.1842,0.048859934853420196,0.656934306569343,1842
2024-07-31,0.015,0.0977,0.07983623336745138,0.5693430656934306,977
2024-07-31,0.02,0.0753,0.10092961487383798,0.5547445255474452,753
2024-07-31,0.025,0.0593,0.12310286677908938,0.5328467153284672,593
2024-07-31,0.030000000000000002,0.0535,0.12897196261682242,0.5036496350364964,535
2024-07-31,0.034999999999999996,0.0511,0.1350293542074364,0.5036496350364964,511
2024-07-31,0.04,0.0462,0.14285714285714285,0.48175182481751827,462
2024-07-31,0.045,0.0406,0.15763546798029557,0.46715328467153283,406
2024-07-31,0.049999999999999996,0.0377,0.16710875331564987,0.45985401459854014,377
2024-07-31,0.055,0.0363,0.17079889807162535,0.45255474452554745,363
2024-07-31,0.06,0.0362,0.1712707182320442,0.45255474452554745,362
2024-07-31,0.065,0.0359,0.16991643454038996,0.44525547445255476,359
2024-07-31,0.07,0.0356,0.17134831460674158,0.44525547445255476,356
2024-07-31,0.07500000000000001,0.0347,0.17579250720461095,0.44525547445255476,347
2024-07-31,0.08,0.0328,0.18597560975609756,0.44525547445255476,328
2024-07-31,0.085,0.031,0.19032258064516128,0.4306569343065693,310
2024-07-31,0.09000000000000001,0.029,0.2,0.4233576642335766,290
2024-07-31,0.095,0.0278,0.2014388489208633,0.40875912408759124,278
2024-07-31,0.1,0.027,0.2,0.39416058394160586,270
